Flat profile:

Each sample counts as 0.01 seconds.
  %   cumulative   self              self     total           
 time   seconds   seconds    calls  ms/call  ms/call  name    
 22.00      0.11     0.11  1123377     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_right(std::_Rb_tree_node_base*)
 18.00      0.20     0.09  1546354     0.00     0.00  std::less<int>::operator()(int const&, int const&) const
 10.00      0.25     0.05   900405     0.00     0.00  bool __gnu_cxx::__ops::_Iter_equals_val<int const>::operator()<std::_Rb_tree_const_iterator<int> >(std::_Rb_tree_const_iterator<int>)
 10.00      0.30     0.05   499788     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::begin() const
  6.00      0.33     0.03        1    30.00    46.92  Graph::show()
  4.00      0.35     0.02   700093     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_mbegin() const
  4.00      0.37     0.02   600048     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_destroy_node(std::_Rb_tree_node<int>*)
  4.00      0.39     0.02        5     4.00     9.24  Graph::DFS(int, std::vector<bool, std::allocator<bool> >&)
  2.00      0.40     0.01  3646808     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr() const
  2.00      0.41     0.01  3646808     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr() const
  2.00      0.42     0.01  2646674     0.00     0.00  std::_Identity<int>::operator()(int const&) const
  2.00      0.43     0.01  2100453     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator++()
  2.00      0.44     0.01  1300145     0.00     0.00  operator new(unsigned long, void*)
  2.00      0.45     0.01  1200096     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_ptr()
  2.00      0.46     0.01  1200096     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr()
  2.00      0.47     0.01   645215     0.00     0.00  std::_Bit_reference::operator bool() const
  2.00      0.48     0.01   600048     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::allocate(std::allocator<std::_Rb_tree_node<int> >&, unsigned long)
  2.00      0.49     0.01                             _init
  1.00      0.49     0.01  1299577     0.00     0.00  std::_Rb_tree_const_iterator<int>::_Rb_tree_const_iterator(std::_Rb_tree_node_base const*)
  1.00      0.50     0.01   600048     0.00     0.00  std::_Rb_tree_iterator<int> std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_<int const&, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node>(std::_Rb_tree_node_base*, std::_Rb_tree_node_base*, int const&, std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node&)
  0.00      0.50     0.00  4200369     0.00     0.00  int const& std::forward<int const&>(std::remove_reference<int const&>::type&)
  0.00      0.50     0.00  3646808     0.00     0.00  std::_Rb_tree_node<int>::_M_valptr() const
  0.00      0.50     0.00  2600226     0.00     0.00  std::operator!=(std::_Rb_tree_const_iterator<int> const&, std::_Rb_tree_const_iterator<int> const&)
  0.00      0.50     0.00  2400192     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_Node_allocator()
  0.00      0.50     0.00  2100454     0.00     0.00  std::_Rb_tree_const_iterator<int>::operator*() const
  0.00      0.50     0.00  1745202     0.00     0.00  std::vector<std::multiset<int, std::less<int>, std::allocator<int> >, std::allocator<std::multiset<int, std::less<int>, std::allocator<int> > > >::operator[](unsigned long)
  0.00      0.50     0.00  1546354     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node<int> const*)
  0.00      0.50     0.00  1200106     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_end()
  0.00      0.50     0.00  1200096     0.00     0.00  __gnu_cxx::__aligned_membuf<int>::_M_addr()
  0.00      0.50     0.00  1122771     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_left(std::_Rb_tree_node_base*)
  0.00      0.50     0.00   799789     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::end() const
  0.00      0.50     0.00   799789     0.00     0.00  std::multiset<int, std::less<int>, std::allocator<int> >::end() const
  0.00      0.50     0.00   745012     0.00     0.00  std::_Bit_iterator_base::_Bit_iterator_base(unsigned long*, unsigned int)
  0.00      0.50     0.00   744988     0.00     0.00  std::_Bit_iterator::_Bit_iterator(unsigned long*, unsigned int)
  0.00      0.50     0.00   744988     0.00     0.00  std::_Bit_iterator::operator+=(long)
  0.00      0.50     0.00   744988     0.00     0.00  std::_Bit_iterator_base::_M_incr(long)
  0.00      0.50     0.00   744988     0.00     0.00  std::operator+(std::_Bit_iterator const&, long)
  0.00      0.50     0.00   744982     0.00     0.00  std::_Bit_iterator::operator*() const
  0.00      0.50     0.00   744982     0.00     0.00  std::_Bit_iterator::operator[](long) const
  0.00      0.50     0.00   744982     0.00     0.00  std::_Bit_reference::_Bit_reference(unsigned long*, unsigned long)
  0.00      0.50     0.00   744982     0.00     0.00  std::vector<bool, std::allocator<bool> >::begin()
  0.00      0.50     0.00   744982     0.00     0.00  std::vector<bool, std::allocator<bool> >::operator[](unsigned long)
  0.00      0.50     0.00   700093     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_begin()
  0.00      0.50     0.00   600078     0.00     0.00  std::_Rb_tree_iterator<int>::_Rb_tree_iterator(std::_Rb_tree_node_base*)
  0.00      0.50     0.00   600068     0.00     0.00  std::_Rb_tree_const_iterator<int>::_Rb_tree_const_iterator(std::_Rb_tree_iterator<int> const&)
  0.00      0.50     0.00   600048     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::deallocate(std::_Rb_tree_node<int>*, unsigned long)
  0.00      0.50     0.00   600048     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::destroy<int>(int*)
  0.00      0.50     0.00   600048     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::allocate(unsigned long, void const*)
  0.00      0.50     0.00   600048     0.00     0.00  void __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::construct<int, int const&>(int*, int const&)
  0.00      0.50     0.00   600048     0.00     0.00  __gnu_cxx::new_allocator<std::_Rb_tree_node<int> >::_M_max_size() const
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree_node<int>* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node::operator()<int const&>(int const&) const
  0.00      0.50     0.00   600048     0.00     0.00  std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::deallocate(std::allocator<std::_Rb_tree_node<int> >&, std::_Rb_tree_node<int>*, unsigned long)
  0.00      0.50     0.00   600048     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::destroy<int>(std::allocator<std::_Rb_tree_node<int> >&, int*)
  0.00      0.50     0.00   600048     0.00     0.00  void std::allocator_traits<std::allocator<std::_Rb_tree_node<int> > >::construct<int, int const&>(std::allocator<std::_Rb_tree_node<int> >&, int*, int const&)
  0.00      0.50     0.00   600048     0.00     0.00  std::pair<std::_Rb_tree_node_base*, std::_Rb_tree_node_base*>::pair<std::_Rb_tree_node<int>*&, std::_Rb_tree_node_base*&, true>(std::_Rb_tree_node<int>*&, std::_Rb_tree_node_base*&)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_Alloc_node::_Alloc_node(std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >&)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_node()
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_put_node(std::_Rb_tree_node<int>*)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_drop_node(std::_Rb_tree_node<int>*)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree_node<int>* std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_create_node<int const&>(int const&)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree_iterator<int> std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_insert_equal<int const&>(int const&)
  0.00      0.50     0.00   600048     0.00     0.00  void std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_construct_node<int const&>(std::_Rb_tree_node<int>*, int const&)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_M_get_insert_equal_pos(int const&)
  0.00      0.50     0.00   600048     0.00     0.00  std::multiset<int, std::less<int>, std::allocator<int> >::insert(int const&)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree_node<int>*& std::forward<std::_Rb_tree_node<int>*&>(std::remove_reference<std::_Rb_tree_node<int>*&>::type&)
  0.00      0.50     0.00   600048     0.00     0.00  std::_Rb_tree_node_base*& std::forward<std::_Rb_tree_node_base*&>(std::remove_reference<std::_Rb_tree_node_base*&>::type&)
  0.00      0.50     0.00   500282     0.00     0.00  std::_Rb_tree<int, int, std::_Identity<int>, std::less<int>, std::allocator<int> >::_S_key(std::_Rb_tree_node_base const*)
  0.00      0.50     0.00   499788     0.00     0.00  std::multiset<int, std::less<int>, std::allocator<int> >::begin() const
  0.00      0.50     0.00   300019     0.00     0.00  Graph::addEdge(int, int)
  0.00      0.50     0.00   300006     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<int const>::_Iter_equals_val(int const&)
  0.00      0.50     0.00   300006     0.00     0.00  __gnu_cxx::__ops::_Iter_equals_val<int const> __gnu_cxx::__ops::__iter_equals_val<int const>(int const&)
  0.00      0.50     0.00   300006     0.00     0.00  std::iterator_traits<std::_Rb_tree_const_iterator<int> >::iterator_category std::__iterator_category<std::_Rb_tree_const_iterator<int> >(std::_Rb_tree_const_iterator<int> const&)
  0.00      0.50     0.00   300006     0.00     0.00  std::_Rb_tree_const_iterator<int> std::find<std::_Rb_tree_const_iterator<int>, int>(std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>, int const&)
  0.00      0.50     0.00   300006     0.00     0.00  std::_Rb_tree_const_iterator<int> std::__find_if<std::_Rb_tree_const_iterator<int>, __gnu_cxx::__ops::_Iter_equals_val<int const> >(std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>, __gnu_cxx::__ops::_Iter_equals_val<int const>)
  0.00      0.50     0.00   300006     0.00     0.00  std::_Rb_tree_const_iterator<int> std::__find_if<std::_Rb_tree_const_iterator<int>, __gnu_cxx::__ops::_Iter_equals_val<int const> >(std::_Rb_tree_const_iterator<int>, std::_Rb_tree_const_iterator<int>, __gnu_cxx::__ops::_Iter_equals_val<int const>, std::input_iterator_tag)
